team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Ireland,Netherlands,2024,2024/05/19,"""Sportpark Westvliet, The Hague""",The Hague,Netherlands,field,MR Adair,Ireland,1,0
Scotland,Netherlands,2024,2024/05/22,"""Sportpark Westvliet, The Hague""",The Hague,Netherlands,field,HG Munsey,Scotland,71,0
Scotland,Ireland,2024,2024/05/23,"""Sportpark Westvliet, The Hague""",The Hague,Scotland,bat,A Balbirnie,Ireland,0,5
Ireland,Netherlands,2024,2024/05/24,"""Sportpark Westvliet, The Hague""",The Hague,Netherlands,field,GH Dockrell,Ireland,3,0
West Indies,South Africa,2024,2024/05/23,"""Sabina Park, Kingston, Jamaica""",Kingston,South Africa,field,BA King,West Indies,28,0
West Indies,South Africa,2024,2024/05/25,"""Sabina Park, Kingston, Jamaica""",Kingston,West Indies,bat,RL Chase,West Indies,16,0
South Africa,West Indies,2024,2024/05/26,"""Sabina Park, Kingston, Jamaica""",Kingston,South Africa,bat,J Charles,West Indies,0,8
England,Australia,2005,2005/06/13,The Rose Bowl,Southampton,England,bat,KP Pietersen,England,100,0
New Zealand,Australia,2004/05,2005/02/17,Eden Park,Auckland,Australia,bat,RT Ponting,Australia,44,0
South Africa,New Zealand,2005/06,2005/10/21,New Wanderers Stadium,Johannesburg,New Zealand,field,JS Patel,New Zealand,0,5
England,Pakistan,2006,2006/08/28,County Ground,Bristol,England,bat,Shahid Afridi,Pakistan,0,5
England,Sri Lanka,2006,2006/06/15,The Rose Bowl,Southampton,Sri Lanka,bat,ST Jayasuriya,Sri Lanka,2,0
Australia,South Africa,2005/06,2006/01/09,"""Brisbane Cricket Ground, Woolloongabba""",Brisbane,Australia,bat,DR Martyn,Australia,95,0
South Africa,Australia,2005/06,2006/02/24,New Wanderers Stadium,Johannesburg,South Africa,bat,GC Smith,South Africa,2,0
Australia,England,2006/07,2007/01/09,Sydney Cricket Ground,,Australia,bat,CL White,Australia,77,0
New Zealand,Sri Lanka,2006/07,2006/12/22,Westpac Stadium,Wellington,New Zealand,bat,ST Jayasuriya,Sri Lanka,18,0
New Zealand,Sri Lanka,2006/07,2006/12/26,Eden Park,Auckland,New Zealand,field,JEC Franklin,New Zealand,0,5
South Africa,India,2006/07,2006/12/01,New Wanderers Stadium,Johannesburg,South Africa,bat,KD Karthik,India,0,6
England,West Indies,2007,2007/06/28,Kennington Oval,London,West Indies,bat,PD Collingwood,West Indies,15,0
England,West Indies,2007,2007/06/29,Kennington Oval,London,West Indies,bat,OA Shah,England,0,5
South Africa,West Indies,2007/08,2007/09/11,New Wanderers Stadium,Johannesburg,South Africa,field,CH Gayle,South Africa,0,8
Pakistan,Scotland,2007/08,2007/09/12,Kingsmead,Durban,Scotland,field,Shahid Afridi,Pakistan,51,0
Bangladesh,West Indies,2007/08,2007/09/13,New Wanderers Stadium,Johannesburg,Bangladesh,field,Mohammad Ashraful,Bangladesh,0,6
Australia,England,2007/08,2007/09/14,Newlands,Cape Town,England,bat,NW Bracken,Australia,0,8
New Zealand,Sri Lanka,2007/08,2007/09/15,New Wanderers Stadium,Johannesburg,New Zealand,bat,ST Jayasuriya,Sri Lanka,0,7
South Africa,Bangladesh,2007/08,2007/09/15,Newlands,Cape Town,South Africa,field,M Morkel,South Africa,0,7
India,New Zealand,2007/08,2007/09/16,New Wanderers Stadium,Johannesburg,India,field,DL Vettori,New Zealand,10,0
Australia,Bangladesh,2007/08,2007/09/16,Newlands,Cape Town,Australia,field,B Lee,Australia,0,9
South Africa,England,2007/08,2007/09/16,Newlands,Cape Town,England,field,JA Morkel,South Africa,19,0
Pakistan,Sri Lanka,2007/08,2007/09/17,New Wanderers Stadium,Johannesburg,Sri Lanka,field,Younis Khan,Pakistan,33,0
England,New Zealand,2007/08,2007/09/18,Kingsmead,Durban,England,field,CD McMillan,New Zealand,5,0
Australia,Pakistan,2007/08,2007/09/18,New Wanderers Stadium,Johannesburg,Pakistan,field,Misbah-ul-Haq,Pakistan,0,6
Bangladesh,Sri Lanka,2007/08,2007/09/18,New Wanderers Stadium,Johannesburg,Bangladesh,field,CRD Fernando,Sri Lanka,64,0
South Africa,New Zealand,2007/08,2007/09/19,Kingsmead,Durban,South Africa,field,JM Kemp,South Africa,0,6
England,India,2007/08,2007/09/19,Kingsmead,Durban,India,bat,Yuvraj Singh,India,18,0
Australia,Sri Lanka,2007/08,2007/09/20,Newlands,Cape Town,Australia,field,SR Clark,Australia,0,10
Bangladesh,Pakistan,2007/08,2007/09/20,Newlands,Cape Town,Pakistan,field,Junaid Siddique,Pakistan,0,4
South Africa,India,2007/08,2007/09/20,Kingsmead,Durban,India,bat,RG Sharma,India,37,0
New Zealand,Pakistan,2007/08,2007/09/22,Newlands,Cape Town,New Zealand,bat,Umar Gul,Pakistan,0,6
Australia,India,2007/08,2007/09/22,Kingsmead,Durban,India,bat,Yuvraj Singh,India,15,0
India,Pakistan,2007/08,2007/09/24,New Wanderers Stadium,Johannesburg,India,bat,IK Pathan,India,5,0
Australia,New Zealand,2007/08,2007/12/11,Western Australia Cricket Association Ground,Perth,Australia,bat,A Symonds,Australia,54,0
Australia,India,2007/08,2008/02/01,Melbourne Cricket Ground,,India,bat,MJ Clarke,Australia,0,9
England,New Zealand,2008,2008/06/13,Old Trafford,Manchester,England,field,IR Bell,England,0,9
India,Australia,2007/08,2007/10/20,Brabourne Stadium,Mumbai,Australia,bat,G Gambhir,India,0,7
South Africa,New Zealand,2007/08,2007/11/23,New Wanderers Stadium,Johannesburg,South Africa,field,AB de Villiers,South Africa,0,3
South Africa,West Indies,2007/08,2008/01/18,New Wanderers Stadium,Johannesburg,South Africa,field,SM Pollock,South Africa,0,4
New Zealand,England,2007/08,2008/02/05,Eden Park,Auckland,New Zealand,field,AD Mascarenhas,England,32,0
New Zealand,England,2007/08,2008/02/07,Jade Stadium,Christchurch,England,bat,PD Collingwood,England,50,0
Bangladesh,Pakistan,2007/08,2007/09/02,Gymkhana Club Ground,Nairobi,Bangladesh,field,Imran Nazir,Pakistan,30,0
South Africa,West Indies,2007/08,2007/12/16,St George's Park,Port Elizabeth,West Indies,field,JE Taylor,West Indies,0,5
West Indies,Australia,2008,2008/06/20,"""Kensington Oval, Bridgetown""",Barbados,West Indies,field,XM Marshall,West Indies,0,7
Pakistan,Bangladesh,2007/08,2008/04/20,National Stadium,Karachi,Pakistan,bat,Misbah-ul-Haq,Pakistan,102,0
South Africa,Bangladesh,2008/09,2008/11/05,New Wanderers Stadium,Johannesburg,Bangladesh,field,Abdur Razzak,South Africa,12,0
South Africa,Australia,2008/09,2009/03/27,New Wanderers Stadium,Johannesburg,South Africa,field,DJ Hussey,South Africa,0,4
South Africa,Australia,2008/09,2009/03/29,SuperSport Park,Centurion,Australia,field,RE van der Merwe,South Africa,17,0
Australia,South Africa,2008/09,2009/01/11,Melbourne Cricket Ground,,Australia,bat,DA Warner,Australia,52,0
Australia,South Africa,2008/09,2009/01/13,"""Brisbane Cricket Ground, Woolloongabba""",Brisbane,South Africa,bat,MEK Hussey,Australia,0,6
Australia,New Zealand,2008/09,2009/02/15,Sydney Cricket Ground,,Australia,bat,NW Bracken,Australia,1,0
West Indies,England,2008/09,2009/03/15,"""Queen's Park Oval, Port of Spain""",Trinidad,West Indies,field,RR Sarwan,West Indies,0,6
England,Netherlands,2009,2009/06/05,Lord's,London,Netherlands,field,TN de Grooth,Netherlands,0,4
