team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
New Zealand,South Africa,2011/12,2012/02/22,Eden Park,Auckland,New Zealand,field,J Botha,South Africa,3,0
India,England,2011/12,2011/10/29,Eden Gardens,Kolkata,India,bat,KP Pietersen,England,0,6
England,West Indies,2011,2011/09/23,Kennington Oval,London,England,field,RS Bopara,England,0,10
England,West Indies,2011,2011/09/25,Kennington Oval,London,England,field,GE Mathurin,West Indies,25,0
Pakistan,Sri Lanka,2011/12,2011/11/25,Sheikh Zayed Stadium,Abu Dhabi,Sri Lanka,bat,Aizaz Cheema,Pakistan,0,5
England,Pakistan,2011/12,2012/02/23,Dubai International Cricket Stadium,,England,field,Umar Gul,Pakistan,8,0
England,Pakistan,2011/12,2012/02/25,Dubai International Cricket Stadium,,England,bat,JM Bairstow,England,38,0
England,Pakistan,2011/12,2012/02/27,Sheikh Zayed Stadium,Abu Dhabi,England,bat,KP Pietersen,England,5,0
Bangladesh,West Indies,2011/12,2011/10/11,Shere Bangla National Stadium,Mirpur,Bangladesh,field,Mushfiqur Rahim,Bangladesh,0,3
Australia,Ireland,2012/13,2012/09/19,R Premadasa Stadium,Colombo,Ireland,bat,SR Watson,Australia,0,7
Afghanistan,India,2012/13,2012/09/19,R Premadasa Stadium,Colombo,Afghanistan,field,V Kohli,India,23,0
Bangladesh,New Zealand,2012/13,2012/09/21,Pallekele International Cricket Stadium,,Bangladesh,field,BB McCullum,New Zealand,59,0
Afghanistan,England,2012/13,2012/09/21,R Premadasa Stadium,Colombo,Afghanistan,field,LJ Wright,England,116,0
Sri Lanka,South Africa,2012/13,2012/09/22,"""Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa""",Hambantota,Sri Lanka,field,AB de Villiers,South Africa,32,0
Australia,West Indies,2012/13,2012/09/22,R Premadasa Stadium,Colombo,West Indies,bat,SR Watson,Australia,17,0
New Zealand,Pakistan,2012/13,2012/09/23,Pallekele International Cricket Stadium,,Pakistan,bat,Nasir Jamshed,Pakistan,13,0
England,India,2012/13,2012/09/23,R Premadasa Stadium,Colombo,England,field,Harbhajan Singh,India,90,0
Bangladesh,Pakistan,2012/13,2012/09/25,Pallekele International Cricket Stadium,,Bangladesh,bat,Imran Nazir,Pakistan,0,8
England,West Indies,2012/13,2012/09/27,Pallekele International Cricket Stadium,,West Indies,bat,J Charles,West Indies,15,0
Pakistan,South Africa,2012/13,2012/09/28,R Premadasa Stadium,Colombo,South Africa,bat,Umar Gul,Pakistan,0,2
Australia,India,2012/13,2012/09/28,R Premadasa Stadium,Colombo,India,bat,SR Watson,Australia,0,9
England,New Zealand,2012/13,2012/09/29,Pallekele International Cricket Stadium,,New Zealand,bat,LJ Wright,England,0,6
Sri Lanka,West Indies,2012/13,2012/09/29,Pallekele International Cricket Stadium,,West Indies,bat,DPMD Jayawardene,Sri Lanka,0,9
Australia,South Africa,2012/13,2012/09/30,R Premadasa Stadium,Colombo,Australia,field,SR Watson,Australia,0,8
India,Pakistan,2012/13,2012/09/30,R Premadasa Stadium,Colombo,Pakistan,bat,V Kohli,India,0,8
Sri Lanka,England,2012/13,2012/10/01,Pallekele International Cricket Stadium,,England,field,SL Malinga,Sri Lanka,19,0
Australia,Pakistan,2012/13,2012/10/02,R Premadasa Stadium,Colombo,Australia,field,Raza Hasan,Pakistan,32,0
India,South Africa,2012/13,2012/10/02,R Premadasa Stadium,Colombo,South Africa,field,Yuvraj Singh,India,1,0
Sri Lanka,Pakistan,2012/13,2012/10/04,R Premadasa Stadium,Colombo,Sri Lanka,bat,DPMD Jayawardene,Sri Lanka,16,0
Australia,West Indies,2012/13,2012/10/05,R Premadasa Stadium,Colombo,West Indies,bat,CH Gayle,West Indies,74,0
Sri Lanka,West Indies,2012/13,2012/10/07,R Premadasa Stadium,Colombo,West Indies,bat,MN Samuels,West Indies,36,0
England,West Indies,2012,2012/06/24,Trent Bridge,Nottingham,West Indies,bat,AD Hales,England,0,7
England,South Africa,2012,2012/09/08,Riverside Ground,Chester-le-Street,South Africa,field,DW Steyn,South Africa,0,7
England,South Africa,2012,2012/09/12,Edgbaston,Birmingham,South Africa,field,JC Buttler,England,28,0
Bangladesh,Pakistan,2011/12,2011/11/29,Shere Bangla National Stadium,Mirpur,Pakistan,bat,Mohammad Hafeez,Pakistan,50,0
West Indies,Australia,2011/12,2012/03/27,"""Beausejour Stadium, Gros Islet""",St Lucia,West Indies,bat,SR Watson,Australia,0,8
West Indies,Australia,2011/12,2012/03/30,"""Kensington Oval, Bridgetown""",Barbados,West Indies,bat,DR Smith,West Indies,14,0
Canada,Netherlands,2011/12,2012/03/13,Dubai International Cricket Stadium,,Netherlands,bat,Mudassar Bukhari,Netherlands,42,0
Afghanistan,Netherlands,2011/12,2012/03/14,Dubai International Cricket Stadium,,Netherlands,bat,Mohammad Shahzad,Afghanistan,0,4
Ireland,Scotland,2011/12,2012/03/18,Dubai International Cricket Stadium,,Ireland,bat,EC Joyce,Ireland,17,0
Afghanistan,Canada,2011/12,2012/03/18,ICC Global Cricket Academy,Dubai,Afghanistan,bat,Samiullah Shenwari,Afghanistan,41,0
Canada,Ireland,2011/12,2012/03/22,Dubai International Cricket Stadium,,Canada,bat,PR Stirling,Ireland,0,10
Ireland,Netherlands,2011/12,2012/03/23,Dubai International Cricket Stadium,,Ireland,field,KJ O'Brien,Ireland,0,7
Canada,Scotland,2011/12,2012/03/23,Dubai International Cricket Stadium,,Canada,bat,RD Berrington,Scotland,0,4
Afghanistan,Ireland,2011/12,2012/03/24,Dubai International Cricket Stadium,,Afghanistan,bat,PR Stirling,Ireland,0,5
South Africa,India,2011/12,2012/03/30,New Wanderers Stadium,Johannesburg,India,field,CA Ingram,South Africa,11,0
New Zealand,West Indies,2012,2012/06/30,Central Broward Regional Park Stadium Turf Ground,Lauderhill,New Zealand,field,CH Gayle,West Indies,56,0
New Zealand,West Indies,2012,2012/07/01,Central Broward Regional Park Stadium Turf Ground,Lauderhill,West Indies,bat,SP Narine,West Indies,61,0
Sri Lanka,Pakistan,2012,2012/06/01,"""Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa""",Hambantota,Sri Lanka,bat,NLTC Perera,Sri Lanka,37,0
Sri Lanka,Pakistan,2012,2012/06/03,"""Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa""",Hambantota,Pakistan,bat,Shahid Afridi,Pakistan,23,0
Sri Lanka,India,2012,2012/08/07,Pallekele International Cricket Stadium,,Sri Lanka,field,IK Pathan,India,39,0
India,England,2012/13,2012/12/20,Subrata Roy Sahara Stadium,Pune,India,field,Yuvraj Singh,India,0,5
India,England,2012/13,2012/12/22,Wankhede Stadium,Mumbai,England,field,EJG Morgan,England,0,6
India,New Zealand,2012,2012/09/11,"""MA Chidambaram Stadium, Chepauk""",Chennai,India,field,BB McCullum,New Zealand,1,0
England,New Zealand,2013,2013/06/25,Kennington Oval,London,England,field,HD Rutherford,New Zealand,5,0
England,Australia,2013,2013/08/29,The Rose Bowl,Southampton,England,field,AJ Finch,Australia,39,0
England,Australia,2013,2013/08/31,Riverside Ground,Chester-le-Street,Australia,field,AD Hales,England,27,0
Ireland,Bangladesh,2012,2012/07/18,"""Civil Service Cricket Club, Stormont""",Belfast,Ireland,field,Elias Sunny,Bangladesh,71,0
Netherlands,Bangladesh,2012,2012/07/25,Sportpark Westvliet,The Hague,Netherlands,bat,Unknown,Bangladesh,0,8
South Africa,New Zealand,2012/13,2012/12/21,Kingsmead,Durban,New Zealand,bat,RK Kleinveldt,South Africa,0,8
South Africa,New Zealand,2012/13,2012/12/23,Buffalo Park,East London,New Zealand,field,MJ Guptill,New Zealand,0,8
South Africa,New Zealand,2012/13,2012/12/26,St George's Park,Port Elizabeth,South Africa,bat,H Davids,South Africa,33,0
South Africa,Pakistan,2012/13,2013/03/03,SuperSport Park,Centurion,Pakistan,bat,Mohammad Hafeez,Pakistan,95,0
New Zealand,England,2012/13,2013/02/09,Eden Park,Auckland,New Zealand,field,SCJ Broad,England,40,0
New Zealand,England,2012/13,2013/02/12,Seddon Park,Hamilton,England,field,BB McCullum,New Zealand,55,0
New Zealand,England,2012/13,2013/02/15,Westpac Stadium,Wellington,England,field,AD Hales,England,0,10
Australia,Pakistan,2012,2012/09/05,Dubai International Cricket Stadium,,Pakistan,field,Mohammad Hafeez,Pakistan,0,7
Australia,Pakistan,2012,2012/09/10,Dubai International Cricket Stadium,,Pakistan,field,DA Warner,Australia,94,0
Australia,Sri Lanka,2012/13,2013/01/26,Stadium Australia,Sydney,Australia,bat,DA Warner,Sri Lanka,0,5
Australia,Sri Lanka,2012/13,2013/01/28,Melbourne Cricket Ground,,Australia,field,NLTC Perera,Sri Lanka,2,0
Australia,West Indies,2012/13,2013/02/13,"""Brisbane Cricket Ground, Woolloongabba""",Brisbane,West Indies,bat,KA Pollard,West Indies,27,0
Netherlands,Bangladesh,2012,2012/07/26,Sportpark Westvliet,The Hague,Bangladesh,bat,Unknown,Netherlands,0,1
Bangladesh,West Indies,2012/13,2012/12/10,Shere Bangla National Stadium,Mirpur,West Indies,bat,MN Samuels,West Indies,18,0
India,Pakistan,2012/13,2012/12/25,M Chinnaswamy Stadium,Bangalore,Pakistan,field,Mohammad Hafeez,Pakistan,0,5
India,Pakistan,2012/13,2012/12/28,"""Sardar Patel Stadium, Motera""",Ahmedabad,Pakistan,field,Yuvraj Singh,India,11,0
Afghanistan,Scotland,2012/13,2013/03/03,Sharjah Cricket Stadium,,Afghanistan,bat,Mohammad Shahzad,Afghanistan,27,0
Afghanistan,Scotland,2012/13,2013/03/04,Sharjah Cricket Stadium,,Scotland,bat,Mohammad Shahzad,Afghanistan,0,7
Sri Lanka,Bangladesh,2012/13,2013/03/31,Pallekele International Cricket Stadium,,Bangladesh,field,MDKJ Perera,Sri Lanka,17,0
Sri Lanka,South Africa,2013,2013/08/02,R Premadasa Stadium,Colombo,South Africa,bat,JP Duminy,South Africa,12,0
Sri Lanka,South Africa,2013,2013/08/04,"""Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa""",Hambantota,South Africa,bat,DA Miller,South Africa,22,0
Sri Lanka,South Africa,2013,2013/08/06,"""Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa""",Hambantota,South Africa,bat,TM Dilshan,Sri Lanka,0,6
Australia,England,2013/14,2014/01/29,Bellerive Oval,Hobart,Australia,bat,CL White,Australia,13,0
Australia,England,2013/14,2014/01/31,Melbourne Cricket Ground,,England,bat,JR Hazlewood,Australia,0,8
Australia,England,2013/14,2014/02/02,Stadium Australia,Sydney,Australia,bat,GJ Bailey,Australia,84,0
West Indies,England,2013/14,2014/03/09,"""Kensington Oval, Bridgetown""",Barbados,West Indies,bat,MN Samuels,West Indies,27,0
West Indies,England,2013/14,2014/03/11,"""Kensington Oval, Bridgetown""",Barbados,England,bat,K Santokie,West Indies,0,5
West Indies,England,2013/14,2014/03/13,"""Kensington Oval, Bridgetown""",Barbados,England,bat,CJ Jordan,England,5,0
West Indies,Pakistan,2013,2013/07/27,"""Arnos Vale Ground, Kingstown""",St Vincent,West Indies,bat,Shahid Afridi,Pakistan,0,2
West Indies,Pakistan,2013,2013/07/28,"""Arnos Vale Ground, Kingstown""",St Vincent,Pakistan,bat,Umar Akmal,Pakistan,11,0
India,Australia,2013/14,2013/10/10,Saurashtra Cricket Association Stadium,Rajkot,India,field,Yuvraj Singh,India,0,6
South Africa,Australia,2013/14,2014/03/12,Kingsmead,Durban,Australia,field,BJ Hodge,Australia,0,5
South Africa,Australia,2013/14,2014/03/14,SuperSport Park,Centurion,Australia,field,MA Starc,Australia,0,6
Pakistan,South Africa,2013/14,2013/11/13,Dubai International Cricket Stadium,,Pakistan,bat,DW Steyn,South Africa,0,9
Pakistan,South Africa,2013/14,2013/11/15,Dubai International Cricket Stadium,,South Africa,bat,F du Plessis,South Africa,6,0
Afghanistan,Pakistan,2013/14,2013/12/08,Sharjah Cricket Stadium,,Afghanistan,bat,Mohammad Hafeez,Pakistan,0,6
Pakistan,Sri Lanka,2013/14,2013/12/11,Dubai International Cricket Stadium,,Pakistan,field,Shahid Afridi,Pakistan,0,3
Pakistan,Sri Lanka,2013/14,2013/12/13,Dubai International Cricket Stadium,,Pakistan,field,MDKJ Perera,Sri Lanka,24,0
Afghanistan,Netherlands,2013/14,2013/11/15,Sharjah Cricket Stadium,Sharjah,Afghanistan,bat,PW Borren,Netherlands,0,7
Canada,Ireland,2013/14,2013/11/16,Sheikh Zayed Stadium,Abu Dhabi,Canada,field,A Bagai,Ireland,2,0
Afghanistan,Scotland,2013/14,2013/11/16,Sharjah Cricket Stadium,,Afghanistan,bat,Dawlat Zadran,Afghanistan,17,0
Netherlands,Scotland,2013/14,2013/11/22,ICC Academy,Dubai,Netherlands,field,RML Taylor,Scotland,15,0
Netherlands,Scotland,2013/14,2013/11/28,Sheikh Zayed Stadium,Abu Dhabi,Scotland,bat,W Barresi,Netherlands,0,8
Afghanistan,Ireland,2013/14,2013/11/30,Sheikh Zayed Stadium,Abu Dhabi,Ireland,bat,DT Johnston,Ireland,68,0
New Zealand,West Indies,2013/14,2014/01/11,Eden Park,Auckland,New Zealand,bat,L Ronchi,New Zealand,81,0
New Zealand,West Indies,2013/14,2014/01/15,Westpac Stadium,Wellington,West Indies,bat,L Ronchi,New Zealand,0,4
England,India,2014,2014/09/07,Edgbaston,Birmingham,England,bat,EJG Morgan,England,3,0
England,Sri Lanka,2014,2014/05/20,Kennington Oval,London,England,field,NLTC Perera,Sri Lanka,9,0
Bangladesh,New Zealand,2013/14,2013/11/06,Shere Bangla National Stadium,Mirpur,New Zealand,bat,C Munro,New Zealand,15,0
Sri Lanka,New Zealand,2013/14,2013/11/21,Pallekele International Cricket Stadium,,Sri Lanka,field,MDKJ Perera,Sri Lanka,0,8
Bangladesh,Afghanistan,2013/14,2014/03/16,Shere Bangla National Stadium,Mirpur,Bangladesh,field,Shakib Al Hasan,Bangladesh,0,9
Bangladesh,Nepal,2013/14,2014/03/18,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,Al-Amin Hossain,Bangladesh,0,8
Afghanistan,Nepal,2013/14,2014/03/20,Zahur Ahmed Chowdhury Stadium,Chittagong,Afghanistan,field,JK Mukhiya,Nepal,9,0
Ireland,Netherlands,2013/14,2014/03/21,Sylhet Stadium,,Netherlands,field,SJ Myburgh,Netherlands,0,6
India,Pakistan,2013/14,2014/03/21,Shere Bangla National Stadium,Mirpur,India,field,A Mishra,India,0,7
South Africa,Sri Lanka,2013/14,2014/03/22,Zahur Ahmed Chowdhury Stadium,Chittagong,Sri Lanka,bat,MDKJ Perera,Sri Lanka,5,0
England,New Zealand,2013/14,2014/03/22,Zahur Ahmed Chowdhury Stadium,Chattogram,New Zealand,field,CJ Anderson,New Zealand,9,0
Australia,Pakistan,2013/14,2014/03/23,Shere Bangla National Stadium,Mirpur,Australia,field,Umar Akmal,Pakistan,16,0
India,West Indies,2013/14,2014/03/23,Shere Bangla National Stadium,Mirpur,India,field,A Mishra,India,0,7
New Zealand,South Africa,2013/14,2014/03/24,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,JP Duminy,South Africa,2,0
Netherlands,Sri Lanka,2013/14,2014/03/24,Zahur Ahmed Chowdhury Stadium,Chittagong,Sri Lanka,field,AD Mathews,Sri Lanka,0,9
Bangladesh,West Indies,2013/14,2014/03/25,Shere Bangla National Stadium,Mirpur,Bangladesh,field,DR Smith,West Indies,73,0
Netherlands,South Africa,2013/14,2014/03/27,Zahur Ahmed Chowdhury Stadium,Chittagong,Netherlands,field,Imran Tahir,South Africa,6,0
England,Sri Lanka,2013/14,2014/03/27,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,AD Hales,England,0,6
Australia,West Indies,2013/14,2014/03/28,Shere Bangla National Stadium,Mirpur,Australia,bat,DJG Sammy,West Indies,0,6
Bangladesh,India,2013/14,2014/03/28,Shere Bangla National Stadium,Mirpur,India,field,R Ashwin,India,0,8
Netherlands,New Zealand,2013/14,2014/03/29,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,BB McCullum,New Zealand,0,6
England,South Africa,2013/14,2014/03/29,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,AB de Villiers,South Africa,3,0
Bangladesh,Pakistan,2013/14,2014/03/30,Shere Bangla National Stadium,Mirpur,Pakistan,bat,Ahmed Shehzad,Pakistan,50,0
Australia,India,2013/14,2014/03/30,Shere Bangla National Stadium,Mirpur,Australia,field,R Ashwin,India,73,0
England,Netherlands,2013/14,2014/03/31,Zahur Ahmed Chowdhury Stadium,Chittagong,England,field,Mudassar Bukhari,Netherlands,45,0
New Zealand,Sri Lanka,2013/14,2014/03/31,Zahur Ahmed Chowdhury Stadium,Chittagong,New Zealand,field,HMRKB Herath,Sri Lanka,59,0
Bangladesh,Australia,2013/14,2014/04/01,Shere Bangla National Stadium,Mirpur,Bangladesh,bat,AJ Finch,Australia,0,7
Pakistan,West Indies,2013/14,2014/04/01,Shere Bangla National Stadium,Mirpur,West Indies,bat,DJ Bravo,West Indies,84,0
Sri Lanka,West Indies,2013/14,2014/04/03,Shere Bangla National Stadium,Mirpur,Sri Lanka,bat,AD Mathews,Sri Lanka,27,0
India,South Africa,2013/14,2014/04/04,Shere Bangla National Stadium,Mirpur,South Africa,bat,V Kohli,India,0,6
India,Sri Lanka,2013/14,2014/04/06,Shere Bangla National Stadium,Mirpur,Sri Lanka,field,KC Sangakkara,Sri Lanka,0,6
South Africa,Pakistan,2013/14,2013/11/20,New Wanderers Stadium,Johannesburg,Pakistan,field,Q de Kock,South Africa,4,0
South Africa,Pakistan,2013/14,2013/11/22,Newlands,Cape Town,Pakistan,bat,Mohammad Hafeez,Pakistan,6,0
Bangladesh,Sri Lanka,2013/14,2014/02/12,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,field,MDKJ Perera,Sri Lanka,2,0
Bangladesh,Sri Lanka,2013/14,2014/02/14,Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh,bat,NLTC Perera,Sri Lanka,0,3
West Indies,Ireland,2013/14,2014/02/19,"""Sabina Park, Kingston""",Jamaica,West Indies,bat,EC Joyce,Ireland,0,6
West Indies,Ireland,2013/14,2014/02/21,"""Sabina Park, Kingston""",Jamaica,Ireland,field,DJG Sammy,West Indies,11,0
South Africa,West Indies,2014/15,2015/01/09,Newlands,Cape Town,South Africa,bat,CH Gayle,West Indies,0,4
South Africa,West Indies,2014/15,2015/01/11,New Wanderers Stadium,Johannesburg,West Indies,field,CH Gayle,West Indies,0,4
Australia,Pakistan,2014/15,2014/10/05,Dubai International Cricket Stadium,,Pakistan,bat,GJ Maxwell,Australia,0,6
West Indies,New Zealand,2014,2014/07/05,"""Windsor Park, Roseau""",Dominica,New Zealand,field,ADS Fletcher,New Zealand,12,0
West Indies,New Zealand,2014,2014/07/06,"""Windsor Park, Roseau""",Dominica,New Zealand,field,ADS Fletcher,West Indies,39,0
South Africa,West Indies,2014/15,2015/01/14,Kingsmead,Durban,West Indies,field,MN van Wyk,South Africa,69,0
New Zealand,Pakistan,2014/15,2014/12/04,Dubai International Cricket Stadium,,Pakistan,field,Sarfraz Ahmed,Pakistan,0,7
England,New Zealand,2015,2015/06/23,Old Trafford,Manchester,England,bat,JE Root,England,56,0
England,Australia,2015,2015/08/31,Sophia Gardens,Cardiff,Australia,field,MM Ali,England,5,0
New Zealand,Pakistan,2014/15,2014/12/05,Dubai International Cricket Stadium,,Pakistan,field,AP Devcich,New Zealand,17,0
Australia,South Africa,2014/15,2014/11/05,Adelaide Oval,,Australia,bat,RR Rossouw,South Africa,0,7
Australia,South Africa,2014/15,2014/11/07,Melbourne Cricket Ground,,South Africa,bat,CJ Boyce,Australia,0,7
Australia,South Africa,2014/15,2014/11/09,Stadium Australia,Sydney,Australia,field,CL White,Australia,0,2
South Africa,England,2015/16,2016/02/19,Newlands,Cape Town,South Africa,field,Imran Tahir,South Africa,0,3
South Africa,England,2015/16,2016/02/21,New Wanderers Stadium,Johannesburg,South Africa,field,AB de Villiers,South Africa,0,9
Bangladesh,South Africa,2015,2015/07/05,Shere Bangla National Stadium,Mirpur,South Africa,bat,F du Plessis,South Africa,52,0
Bangladesh,South Africa,2015,2015/07/07,Shere Bangla National Stadium,Mirpur,South Africa,bat,E Leie,South Africa,31,0
South Africa,New Zealand,2015,2015/08/14,Kingsmead,Durban,South Africa,field,AM Phangiso,South Africa,0,6
South Africa,New Zealand,2015,2015/08/16,SuperSport Park,Centurion,New Zealand,bat,MJ Guptill,New Zealand,32,0
Bangladesh,Pakistan,2015,2015/04/24,Shere Bangla National Stadium,Mirpur,Pakistan,bat,Sabbir Rahman,Bangladesh,0,7
Sri Lanka,Pakistan,2015,2015/07/30,R Premadasa Stadium,Colombo,Pakistan,bat,Sohail Tanvir,Pakistan,29,0
Sri Lanka,Pakistan,2015,2015/08/01,R Premadasa Stadium,Colombo,Sri Lanka,bat,Anwar Ali,Pakistan,0,1
Afghanistan,Netherlands,2015,2015/07/09,"""Grange Cricket Club Ground, Raeburn Place""",Edinburgh,Netherlands,field,Sharafuddin Ashraf,Afghanistan,32,0
Scotland,Netherlands,2015,2015/07/11,"""Grange Cricket Club Ground, Raeburn Place""",Edinburgh,Netherlands,bat,AC Evans,Netherlands,32,0
Scotland,Afghanistan,2015,2015/07/12,"""Grange Cricket Club Ground, Raeburn Place""",Edinburgh,Afghanistan,bat,Mohammad Shahzad,Afghanistan,37,0
Nepal,Ireland,2015,2015/07/13,"""Civil Service Cricket Club, Stormont""",Belfast,Ireland,field,KJ O'Brien,Ireland,0,8
Ireland,Papua New Guinea,2015,2015/07/15,"""Civil Service Cricket Club, Stormont""",Belfast,Ireland,bat,N Vanua,Papua New Guinea,0,2
Nepal,Papua New Guinea,2015,2015/07/17,"""The Village, Malahide""",Dublin,Papua New Guinea,field,A Vala,Papua New Guinea,0,8
Afghanistan,Papua New Guinea,2015,2015/07/23,"""The Village, Malahide""",Dublin,Papua New Guinea,bat,Nawroz Mangal,Afghanistan,0,6
Afghanistan,Oman,2015,2015/07/25,Clontarf Cricket Club Ground,Dublin,Afghanistan,field,Najibullah Zadran,Afghanistan,0,5
Ireland,Netherlands,2015,2015/07/25,"""The Village, Malahide""",Dublin,Netherlands,field,Mudassar Bukhari,Netherlands,0,5
Netherlands,Nepal,2015,2015/07/01,VRA Ground,Amstelveen,Nepal,field,Unknown,Netherlands,103,0
Netherlands,Nepal,2015,2015/07/02,Hazelaarweg,Rotterdam,Netherlands,bat,Unknown,Netherlands,18,0
South Africa,Australia,2015/16,2016/03/04,Kingsmead,Durban,Australia,bat,DA Miller,South Africa,0,3
South Africa,Australia,2015/16,2016/03/06,New Wanderers Stadium,Johannesburg,Australia,field,DA Warner,Australia,0,5
South Africa,Australia,2015/16,2016/03/09,Newlands,Cape Town,South Africa,bat,HM Amla,Australia,0,6
Ireland,Scotland,2015,2015/06/20,"""Bready Cricket Club, Magheramason""",Londonderry,Scotland,field,Unknown,Scotland,0,6
Australia,India,2015/16,2016/01/26,Adelaide Oval,,Australia,field,V Kohli,India,37,0
Australia,India,2015/16,2016/01/29,Melbourne Cricket Ground,,Australia,field,V Kohli,India,27,0
Australia,India,2015/16,2016/01/31,Sydney Cricket Ground,,Australia,bat,SR Watson,India,0,7
England,Pakistan,2015/16,2015/11/26,Dubai International Cricket Stadium,,England,bat,SW Billings,England,14,0
England,Pakistan,2015/16,2015/11/27,Dubai International Cricket Stadium,,England,bat,LE Plunkett,England,3,0
India,South Africa,2015/16,2015/10/02,Himachal Pradesh Cricket Association Stadium,Dharmasala,South Africa,field,JP Duminy,South Africa,0,7
India,South Africa,2015/16,2015/10/05,Barabati Stadium,Cuttack,South Africa,field,JA Morkel,South Africa,0,6
England,Sri Lanka,2016,2016/07/05,The Rose Bowl,Southampton,Sri Lanka,bat,JC Buttler,England,0,8
England,Pakistan,2016,2016/09/07,Old Trafford,Manchester,England,bat,Wahab Riaz,Pakistan,0,9
New Zealand,Sri Lanka,2015/16,2016/01/07,Bay Oval,Mount Maunganui,Sri Lanka,field,TA Boult,New Zealand,3,0
New Zealand,Sri Lanka,2015/16,2016/01/10,Eden Park,Auckland,New Zealand,field,C Munro,New Zealand,0,9
New Zealand,Pakistan,2015/16,2016/01/15,Eden Park,Auckland,New Zealand,field,Shahid Afridi,Pakistan,16,0
New Zealand,Pakistan,2015/16,2016/01/17,Seddon Park,Hamilton,Pakistan,bat,MJ Guptill,New Zealand,0,10
New Zealand,Pakistan,2015/16,2016/01/22,Westpac Stadium,Wellington,Pakistan,field,CJ Anderson,New Zealand,95,0
Sri Lanka,West Indies,2015/16,2015/11/09,Pallekele International Cricket Stadium,,West Indies,field,SMSM Senanayake,Sri Lanka,30,0
Sri Lanka,West Indies,2015/16,2015/11/11,R Premadasa Stadium,Colombo,West Indies,bat,DJ Bravo,West Indies,23,0
Afghanistan,Oman,2015/16,2015/11/30,Sheikh Zayed Stadium,Abu Dhabi,Oman,field,Unknown,Afghanistan,12,0
South Africa,Sri Lanka,2016/17,2017/01/20,SuperSport Park,Centurion,Sri Lanka,field,L Ngidi,South Africa,19,0
South Africa,Sri Lanka,2016/17,2017/01/22,New Wanderers Stadium,Johannesburg,South Africa,bat,AD Mathews,Sri Lanka,0,3
South Africa,Sri Lanka,2016/17,2017/01/25,Newlands,Cape Town,South Africa,bat,N Dickwella,Sri Lanka,0,5
Afghanistan,Scotland,2015/16,2016/03/08,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,Afghanistan,bat,Mohammad Shahzad,Afghanistan,14,0
Bangladesh,Netherlands,2015/16,2016/03/09,Himachal Pradesh Cricket Association Stadium,Dharamsala,Netherlands,field,Tamim Iqbal,Bangladesh,8,0
Ireland,Oman,2015/16,2016/03/09,Himachal Pradesh Cricket Association Stadium,Dharamsala,Ireland,bat,Amir Ali,Oman,0,2
Ireland,Netherlands,2015/16,2016/03/13,Himachal Pradesh Cricket Association Stadium,Dharamsala,Ireland,field,PA van Meekeren,Netherlands,12,0
Bangladesh,Oman,2015/16,2016/03/13,Himachal Pradesh Cricket Association Stadium,Dharamsala,Oman,field,Tamim Iqbal,Bangladesh,54,0
India,New Zealand,2015/16,2016/03/15,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,New Zealand,bat,MJ Santner,New Zealand,47,0
England,West Indies,2015/16,2016/03/16,Wankhede Stadium,Mumbai,West Indies,field,CH Gayle,West Indies,0,6
Bangladesh,Pakistan,2015/16,2016/03/16,Eden Gardens,Kolkata,Pakistan,bat,Shahid Afridi,Pakistan,55,0
Afghanistan,Sri Lanka,2015/16,2016/03/17,Eden Gardens,Kolkata,Afghanistan,bat,TM Dilshan,Sri Lanka,0,6
Australia,New Zealand,2015/16,2016/03/18,Himachal Pradesh Cricket Association Stadium,Dharamsala,New Zealand,bat,MJ McClenaghan,New Zealand,8,0
England,South Africa,2015/16,2016/03/18,Wankhede Stadium,Mumbai,England,field,JE Root,England,0,2
India,Pakistan,2015/16,2016/03/19,Eden Gardens,Kolkata,India,field,V Kohli,India,0,6
Afghanistan,South Africa,2015/16,2016/03/20,Wankhede Stadium,Mumbai,South Africa,bat,CH Morris,South Africa,37,0
Sri Lanka,West Indies,2015/16,2016/03/20,M Chinnaswamy Stadium,Bangalore,West Indies,field,ADS Fletcher,West Indies,0,7
Australia,Bangladesh,2015/16,2016/03/21,M Chinnaswamy Stadium,Bangalore,Australia,field,A Zampa,Australia,0,3
New Zealand,Pakistan,2015/16,2016/03/22,"""Punjab Cricket Association IS Bindra Stadium, Mohali""",Chandigarh,New Zealand,bat,MJ Guptill,New Zealand,22,0
