match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,0.1,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Fazalhaq Farooqi,1,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,0.2,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,1,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,0.3,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,0.4,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,0.5,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,0.6,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Fazalhaq Farooqi,4,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,1.1,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Azmatullah Omarzai,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,1.2,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Azmatullah Omarzai,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,1.3,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Azmatullah Omarzai,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,1.4,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Azmatullah Omarzai,1,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,1.5,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Azmatullah Omarzai,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,1.6,Pakistan,Afghanistan,Saim Ayub,Mohammad Haris,Azmatullah Omarzai,6,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,2.1,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,2.2,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,2.3,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,2.4,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,0,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,2.5,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,4,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,2.6,Pakistan,Afghanistan,Mohammad Haris,Saim Ayub,Fazalhaq Farooqi,0,0,,,,,,caught,Mohammad Haris,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,3.1,Pakistan,Afghanistan,Saim Ayub,Abdullah Shafique,Azmatullah Omarzai,4,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,3.2,Pakistan,Afghanistan,Saim Ayub,Abdullah Shafique,Azmatullah Omarzai,1,0,,,,,,,,,
1362815,2022/23,2023-03-24,Sharjah Cricket Stadium,1,3.3,Pakistan,Afghanistan,Abdullah Shafique,Saim Ayub,Azmatullah Omarzai,0,0,,,,,,,,,
