match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,0.1,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,0.2,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,0.3,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,0.4,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,0.5,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,Arshdeep Singh,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,0.6,Afghanistan,India,Mohammad Shahzad,Zubaid Akbari,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,1.1,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,S Dube,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,1.2,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,S Dube,4,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,1.3,Afghanistan,India,Zubaid Akbari,Mohammad Shahzad,S Dube,0,0,,,,,,caught,Zubaid Akbari,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,1.4,Afghanistan,India,Noor Ali Zadran,Mohammad Shahzad,S Dube,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,1.5,Afghanistan,India,Noor Ali Zadran,Mohammad Shahzad,S Dube,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,1.6,Afghanistan,India,Noor Ali Zadran,Mohammad Shahzad,S Dube,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,2.1,Afghanistan,India,Mohammad Shahzad,Noor Ali Zadran,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,2.2,Afghanistan,India,Mohammad Shahzad,Noor Ali Zadran,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,2.3,Afghanistan,India,Mohammad Shahzad,Noor Ali Zadran,Arshdeep Singh,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,2.4,Afghanistan,India,Mohammad Shahzad,Noor Ali Zadran,Arshdeep Singh,4,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,2.5,Afghanistan,India,Mohammad Shahzad,Noor Ali Zadran,Arshdeep Singh,0,0,,,,,,caught,Mohammad Shahzad,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,2.6,Afghanistan,India,Shahidullah,Noor Ali Zadran,Arshdeep Singh,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,3.1,Afghanistan,India,Shahidullah,Noor Ali Zadran,Washington Sundar,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,3.2,Afghanistan,India,Noor Ali Zadran,Shahidullah,Washington Sundar,1,0,,,,,,run out,Noor Ali Zadran,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,3.3,Afghanistan,India,Afsar Zazai,Shahidullah,Washington Sundar,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,3.4,Afghanistan,India,Shahidullah,Afsar Zazai,Washington Sundar,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,3.5,Afghanistan,India,Shahidullah,Afsar Zazai,Washington Sundar,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,3.6,Afghanistan,India,Shahidullah,Afsar Zazai,Washington Sundar,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,4.1,Afghanistan,India,Afsar Zazai,Shahidullah,R Sai Kishore,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,4.2,Afghanistan,India,Afsar Zazai,Shahidullah,R Sai Kishore,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,4.3,Afghanistan,India,Afsar Zazai,Shahidullah,R Sai Kishore,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,4.4,Afghanistan,India,Shahidullah,Afsar Zazai,R Sai Kishore,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,4.5,Afghanistan,India,Afsar Zazai,Shahidullah,R Sai Kishore,1,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,4.6,Afghanistan,India,Shahidullah,Afsar Zazai,R Sai Kishore,0,0,,,,,,,,,
1399120,2023,2023-10-07,Zhejiang University of Technology Cricket Field,1,5.1,Afghanistan,India,Afsar Zazai,Shahidullah,Washington Sundar,4,0,,,,,,,,,
