match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.1,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,MR Adair,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.2,Afghanistan,Ireland,Sediqullah Atal,Rahmanullah Gurbaz,MR Adair,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.3,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,MR Adair,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.4,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,MR Adair,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.5,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,MR Adair,0,1,1,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.6,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,MR Adair,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,0.7,Afghanistan,Ireland,Sediqullah Atal,Rahmanullah Gurbaz,MR Adair,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,1.1,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,1.2,Afghanistan,Ireland,Sediqullah Atal,Rahmanullah Gurbaz,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,1.3,Afghanistan,Ireland,Rahmanullah Gurbaz,Sediqullah Atal,J Little,0,0,,,,,,bowled,Rahmanullah Gurbaz,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,1.4,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,J Little,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,1.5,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,1.6,Afghanistan,Ireland,Sediqullah Atal,Ibrahim Zadran,J Little,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,2.1,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,MR Adair,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,2.2,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,MR Adair,4,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,2.3,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,MR Adair,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,2.4,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,MR Adair,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,2.5,Afghanistan,Ireland,Ibrahim Zadran,Sediqullah Atal,MR Adair,0,0,,,,,,caught,Ibrahim Zadran,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,2.6,Afghanistan,Ireland,Mohammad Ishaq,Sediqullah Atal,MR Adair,0,0,,,,,,lbw,Mohammad Ishaq,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.1,Afghanistan,Ireland,Sediqullah Atal,Azmatullah Omarzai,J Little,0,1,1,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.2,Afghanistan,Ireland,Sediqullah Atal,Azmatullah Omarzai,J Little,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.3,Afghanistan,Ireland,Sediqullah Atal,Azmatullah Omarzai,J Little,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.4,Afghanistan,Ireland,Sediqullah Atal,Azmatullah Omarzai,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.5,Afghanistan,Ireland,Azmatullah Omarzai,Sediqullah Atal,J Little,0,1,1,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.6,Afghanistan,Ireland,Azmatullah Omarzai,Sediqullah Atal,J Little,0,0,,,,,,caught,Azmatullah Omarzai,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.7,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,J Little,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,3.8,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,J Little,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.1,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,BJ McCarthy,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.2,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,BJ McCarthy,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.3,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,BJ McCarthy,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.4,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,BJ McCarthy,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.5,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,BJ McCarthy,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.6,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,BJ McCarthy,0,1,1,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,4.7,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,BJ McCarthy,4,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,5.1,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,J Little,0,1,,,,1,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,5.2,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,5.3,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,5.4,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,J Little,6,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,5.5,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,J Little,2,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,5.6,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,J Little,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,6.1,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,B White,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,6.2,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,B White,4,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,6.3,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,B White,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,6.4,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,B White,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,6.5,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,B White,1,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,6.6,Afghanistan,Ireland,Sediqullah Atal,Mohammad Nabi,B White,0,0,,,,,,,,,
1416085,2023/24,2024-03-17,Sharjah Cricket Stadium,1,7.1,Afghanistan,Ireland,Mohammad Nabi,Sediqullah Atal,GJ Delany,1,0,,,,,,,,,
