match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,0.1,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,AD Mathews,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,0.2,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,AD Mathews,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,0.3,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,AD Mathews,0,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,0.4,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,AD Mathews,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,0.5,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,AD Mathews,4,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,0.6,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,AD Mathews,6,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,1.1,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,N Thushara,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,1.2,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,N Thushara,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,1.3,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,N Thushara,4,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,1.4,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,N Thushara,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,1.5,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,N Thushara,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,1.6,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,N Thushara,4,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,2.1,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,AD Mathews,0,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,2.2,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,AD Mathews,4,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,2.3,Afghanistan,Sri Lanka,Rahmanullah Gurbaz,Hazratullah,AD Mathews,1,0,,,,,,,,,
1416079,2023/24,2024-02-21,Rangiri Dambulla International Stadium,1,2.4,Afghanistan,Sri Lanka,Hazratullah,Rahmanullah Gurbaz,AD Mathews,1,0,,,,,,,,,
