match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,0.1,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Fazalhaq Farooqi,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,0.2,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Fazalhaq Farooqi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,0.3,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Fazalhaq Farooqi,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,0.4,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Fazalhaq Farooqi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,0.5,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Fazalhaq Farooqi,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,0.6,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Fazalhaq Farooqi,0,1,,,,1,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,1.1,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Azmatullah Omarzai,3,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,1.2,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,1.3,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,1.4,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Azmatullah Omarzai,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,1.5,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,1.6,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,2.1,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Naveen-ul-Haq,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,2.2,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Naveen-ul-Haq,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,2.3,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Naveen-ul-Haq,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,2.4,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Naveen-ul-Haq,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,2.5,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Naveen-ul-Haq,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,2.6,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Naveen-ul-Haq,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,3.1,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,2,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,3.2,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,3.3,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,3.4,Sri Lanka,Afghanistan,BKG Mendis,P Nissanka,Azmatullah Omarzai,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,3.5,Sri Lanka,Afghanistan,P Nissanka,BKG Mendis,Azmatullah Omarzai,0,0,,,,,,lbw,P Nissanka,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,3.6,Sri Lanka,Afghanistan,DM de Silva,BKG Mendis,Azmatullah Omarzai,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,4.1,Sri Lanka,Afghanistan,BKG Mendis,DM de Silva,Fazalhaq Farooqi,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,4.2,Sri Lanka,Afghanistan,BKG Mendis,DM de Silva,Fazalhaq Farooqi,0,0,,,,,,caught,BKG Mendis,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,4.3,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Fazalhaq Farooqi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,4.4,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Fazalhaq Farooqi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,4.5,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Fazalhaq Farooqi,2,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,4.6,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Fazalhaq Farooqi,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,5.1,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Naveen-ul-Haq,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,5.2,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Naveen-ul-Haq,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,5.3,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Naveen-ul-Haq,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,5.4,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Naveen-ul-Haq,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,5.5,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Naveen-ul-Haq,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,5.6,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Naveen-ul-Haq,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,6.1,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Karim Janat,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,6.2,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Karim Janat,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,6.3,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Karim Janat,2,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,6.4,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Karim Janat,3,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,6.5,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Karim Janat,2,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,6.6,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Karim Janat,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,7.1,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,7.2,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,7.3,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,7.4,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Mohammad Nabi,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,7.5,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Mohammad Nabi,0,1,,,,1,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,7.6,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,8.1,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Noor Ahmad,2,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,8.2,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Noor Ahmad,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,8.3,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Noor Ahmad,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,8.4,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Noor Ahmad,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,8.5,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Noor Ahmad,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,8.6,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Noor Ahmad,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.1,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.2,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Mohammad Nabi,0,1,1,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.3,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.4,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Mohammad Nabi,0,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.5,Sri Lanka,Afghanistan,S Samarawickrama,DM de Silva,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.6,Sri Lanka,Afghanistan,DM de Silva,S Samarawickrama,Mohammad Nabi,0,0,,,,,,caught,DM de Silva,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,9.7,Sri Lanka,Afghanistan,PWH de Silva,S Samarawickrama,Mohammad Nabi,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,10.1,Sri Lanka,Afghanistan,PWH de Silva,S Samarawickrama,Noor Ahmad,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,10.2,Sri Lanka,Afghanistan,S Samarawickrama,PWH de Silva,Noor Ahmad,1,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,10.3,Sri Lanka,Afghanistan,PWH de Silva,S Samarawickrama,Noor Ahmad,6,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,10.4,Sri Lanka,Afghanistan,PWH de Silva,S Samarawickrama,Noor Ahmad,2,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,10.5,Sri Lanka,Afghanistan,PWH de Silva,S Samarawickrama,Noor Ahmad,4,0,,,,,,,,,
1416078,2023/24,2024-02-19,Rangiri Dambulla International Stadium,1,10.6,Sri Lanka,Afghanistan,PWH de Silva,S Samarawickrama,Noor Ahmad,1,0,,,,,,,,,
